move,X,Y,Z,E,F,A,command,line,,,,,
TRUE,135.048,64.415,0.2,0.01682,1200,0,0,0,G1,G1 X135.048 Y64.415 E0.01682,,,
TRUE,134.713,64.794,0.2,0.01682,1200,0,0,0,G1,G1 X134.713 Y64.794 E0.01682,,,
TRUE,134.323,65.115,0.2,0.0168,1200,0,0,0,G1,G1 X134.323 Y65.115 E0.0168,,,
TRUE,133.887,65.371,0.2,0.01682,1200,0,0,0,G1,G1 X133.887 Y65.371 E0.01682,,,
TRUE,133.416,65.554,0.2,0.01681,1200,0,0,0,G1,G1 X133.416 Y65.554 E0.01681,,,
TRUE,132.922,65.662,0.2,0.01682,1200,0,0,0,G1,G1 X132.922 Y65.662 E0.01682,,,
TRUE,132.472,65.699,0.2,0.01502,1200,0,0,0,G1,G1 X132.472 Y65.699 E0.01502,,,
TRUE,118.166,65.7,0.2,0.47582,1200,0,0,0,G1,G1 X118.166 Y65.7 E0.47582,,,
TRUE,117.468,65.691,0.2,0.02322,1200,0,0,0,G1,G1 X117.468 Y65.691 E0.02322,,,
TRUE,116.964,65.644,0.2,0.01684,1200,0,0,0,G1,G1 X116.964 Y65.644 E0.01684,,,
TRUE,116.474,65.519,0.2,0.01682,1200,0,0,0,G1,G1 X116.474 Y65.519 E0.01682,,,
TRUE,116.01,65.318,0.2,0.01682,1200,0,0,0,G1,G1 X116.01 Y65.318 E0.01682,,,
TRUE,115.584,65.047,0.2,0.01679,1200,0,0,0,G1,G1 X115.584 Y65.047 E0.01679,,,
TRUE,115.205,64.712,0.2,0.01682,1200,0,0,0,G1,G1 X115.205 Y64.712 E0.01682,,,
TRUE,114.884,64.321,0.2,0.01683,1200,0,0,0,G1,G1 X114.884 Y64.321 E0.01683,,,
TRUE,114.629,63.885,0.2,0.0168,1200,0,0,0,G1,G1 X114.629 Y63.885 E0.0168,,,
TRUE,114.445,63.414,0.2,0.01682,1200,0,0,0,G1,G1 X114.445 Y63.414 E0.01682,,,
TRUE,114.338,62.92,0.2,0.01681,1200,0,0,0,G1,G1 X114.338 Y62.92 E0.01681,,,
TRUE,114.301,62.467,0.2,0.01512,1200,0,0,0,G1,G1 X114.301 Y62.467 E0.01512,,,
TRUE,114.3,48.131,0.2,0.47682,1200,0,0,0,G1,G1 X114.3 Y48.131 E0.47682,,,
TRUE,114.309,47.466,0.2,0.02212,1200,0,0,0,G1,G1 X114.309 Y47.466 E0.02212,,,
TRUE,114.356,46.962,0.2,0.01684,1200,0,0,0,G1,G1 X114.356 Y46.962 E0.01684,,,
TRUE,114.482,46.473,0.2,0.0168,1200,0,0,0,G1,G1 X114.482 Y46.473 E0.0168,,,
TRUE,114.683,46.009,0.2,0.01682,1200,0,0,0,G1,G1 X114.683 Y46.009 E0.01682,,,
TRUE,114.683,46.009,0.2,-0.8,2100,0,0,0,G1,G1 F2100 E-0.8,,,
FALSE,None,None,None,None,None,0,0,0,,MESH:Tensile_Testing_V2.stl,,MESH:Tensile_Testing_V2.stl,
TRUE,116.835,47.914,0.2,-0.8,3600,0,0,0,G0,G0 F3600 X116.835 Y47.914,,,
TRUE,117.914,47.914,0.2,-0.8,3600,0,0,0,G0,G0 X117.914 Y47.914,,,
TRUE,117.914,47.914,0.2,0.8,2100,0,0,0,G1,G1 F2100 E0.8,,,
TRUE,118.1,48.1,0.2,0.8,3600,0,0,0,G0,G0 F3600 X118.1 Y48.1,,,
FALSE,None,None,None,None,None,0,0,0,,TYPE:WALL-INNER,,TYPE:WALL-INNER,
TRUE,118.1,61.9,0.2,0.43604,1200,0,0,0,G1,G1 F1200 X118.1 Y61.9 E0.43604,,,
TRUE,131.9,61.9,0.2,0.43604,1200,0,0,0,G1,G1 X131.9 Y61.9 E0.43604,,,
TRUE,131.9,48.1,0.2,0.43604,1200,0,0,0,G1,G1 X131.9 Y48.1 E0.43604,,,
TRUE,118.1,48.1,0.2,0.43604,1200,0,0,0,G1,G1 X118.1 Y48.1 E0.43604,,,
TRUE,118.37,48.37,0.2,0.43604,3600,0,0,0,G0,G0 F3600 X118.37 Y48.37,,,
TRUE,132.03,62.03,0.2,0.43604,3600,0,0,0,G0,G0 X132.03 Y62.03,,,
TRUE,132.3,62.3,0.2,0.43604,3600,0,0,0,G0,G0 X132.3 Y62.3,,,
FALSE,None,None,None,None,None,0,0,0,,TYPE:WALL-OUTER,,TYPE:WALL-OUTER,
